Day,Base_Demand,Tech_Trend_Multiplier,Geopolitical_Risk,Retail_Orders,MediaTek_Wafer_Orders
1,100.34,1.0,0.206,103.0,131.0
2,100.69,1.0,0.134,98.0,134.0
3,101.03,1.0,0.275,105.0,156.0
4,101.38,1.0,0.09,101.0,136.0
5,101.72,1.0,0.292,99.0,131.0
6,102.06,1.0,0.059,101.0,130.0
7,102.4,1.0,0.327,104.0,127.0
8,102.75,1.0,0.096,102.0,137.0
9,103.09,1.0,0.103,99.0,120.0
10,103.43,1.0,0.197,106.0,153.0
11,103.76,1.0,0.319,107.0,150.0
12,104.1,1.0,0.044,105.0,132.0
13,104.44,1.01,0.216,97.0,138.0
14,104.77,1.01,0.148,102.0,143.0
15,105.11,1.01,0.079,102.0,145.0
16,105.44,1.01,0.199,115.0,158.0
17,105.77,1.01,0.074,107.0,142.0
18,106.1,1.01,0.208,105.0,134.0
19,106.43,1.01,0.084,104.0,155.0
20,106.75,1.01,0.11,107.0,136.0
21,107.07,1.01,0.169,112.0,162.0
22,107.39,1.01,0.218,99.0,147.0
23,107.71,1.01,0.095,110.0,152.0
24,108.03,1.01,0.169,107.0,145.0
25,108.34,1.01,0.114,112.0,148.0
26,108.66,1.01,0.092,114.0,152.0
27,108.96,1.01,0.227,107.0,132.0
28,109.27,1.01,0.121,104.0,141.0
29,109.57,1.01,0.095,109.0,162.0
30,109.88,1.01,0.165,118.0,160.0
31,110.17,1.01,0.048,116.0,153.0
32,110.47,1.01,0.118,110.0,139.0
33,110.76,1.01,0.176,109.0,153.0
34,111.05,1.01,0.022,110.0,136.0
35,111.33,1.01,0.082,106.0,151.0
36,111.62,1.01,0.119,117.0,171.0
37,111.89,1.01,0.229,118.0,181.0
38,112.17,1.02,0.415,112.0,154.0
39,112.44,1.02,0.079,112.0,157.0
40,112.71,1.02,0.035,111.0,153.0
41,112.97,1.02,0.046,113.0,145.0
42,113.23,1.02,0.089,111.0,162.0
43,113.49,1.02,0.318,115.0,171.0
44,113.74,1.02,0.032,120.0,171.0
45,113.99,1.02,0.141,119.0,151.0
46,114.23,1.02,0.187,112.0,149.0
47,114.47,1.02,0.082,117.0,158.0
48,114.71,1.02,0.214,120.0,181.0
49,114.94,1.02,0.326,112.0,169.0
50,115.17,1.02,0.054,118.0,147.0
51,115.39,1.02,0.228,124.0,193.0
52,115.61,1.02,0.154,117.0,158.0
53,115.82,1.02,0.127,108.0,138.0
54,116.03,1.02,0.101,106.0,135.0
55,116.23,1.02,0.265,120.0,159.0
56,116.43,1.02,0.053,120.0,136.0
57,116.62,1.02,0.104,120.0,161.0
58,116.81,1.02,0.2,122.0,155.0
59,117.0,1.02,0.123,112.0,156.0
60,117.18,1.02,0.238,116.0,174.0
61,117.35,1.02,0.07,122.0,167.0
62,117.52,1.02,0.211,124.0,175.0
63,117.68,1.03,0.208,119.0,152.0
64,117.84,1.03,0.176,114.0,166.0
65,117.99,1.03,0.082,123.0,184.0
66,118.14,1.03,0.214,122.0,185.0
67,118.28,1.03,0.087,116.0,143.0
68,118.42,1.03,0.579,112.0,177.0
69,118.55,1.03,0.077,125.0,164.0
70,118.68,1.03,0.07,119.0,155.0
71,118.8,1.03,0.182,123.0,171.0
72,118.91,1.03,0.017,123.0,183.0
73,119.02,1.03,0.083,117.0,158.0
74,119.12,1.03,0.16,125.0,168.0
75,119.22,1.03,0.126,118.0,165.0
76,119.31,1.03,0.038,115.0,139.0
77,119.4,1.03,0.318,115.0,161.0
78,119.48,1.03,0.338,123.0,191.0
79,119.56,1.03,0.158,131.0,183.0
80,119.63,1.03,0.041,124.0,184.0
81,119.69,1.03,0.027,132.0,177.0
82,119.75,1.03,0.057,131.0,161.0
83,119.8,1.03,0.191,126.0,160.0
84,119.84,1.03,0.073,132.0,186.0
85,119.88,1.03,0.054,131.0,164.0
86,119.92,1.03,0.194,130.0,170.0
87,119.95,1.03,0.11,115.0,150.0
88,119.97,1.04,0.192,123.0,182.0
89,119.99,1.04,0.223,121.0,167.0
90,120.0,1.04,0.098,130.0,167.0
91,120.0,1.04,0.137,123.0,180.0
92,120.0,1.04,0.102,133.0,190.0
93,119.99,1.04,0.171,125.0,190.0
94,119.98,1.04,0.137,124.0,184.0
95,119.96,1.04,0.17,123.0,180.0
96,119.93,1.04,0.307,124.0,172.0
97,119.9,1.04,0.232,126.0,185.0
98,119.87,1.04,0.055,124.0,177.0
99,119.82,1.04,0.119,122.0,185.0
100,119.77,1.04,0.091,123.0,167.0
101,119.72,1.04,0.117,134.0,177.0
102,119.66,1.04,0.254,135.0,183.0
103,119.59,1.04,0.054,122.0,172.0
104,119.52,1.04,0.1,129.0,167.0
105,119.44,1.04,0.133,120.0,165.0
106,119.36,1.04,0.11,123.0,158.0
107,119.27,1.04,0.08,119.0,158.0
108,119.17,1.04,0.178,129.0,184.0
109,119.07,1.04,0.147,127.0,177.0
110,118.97,1.04,0.117,128.0,181.0
111,118.86,1.04,0.045,129.0,156.0
112,118.74,1.04,0.156,120.0,164.0
113,118.61,1.05,0.091,122.0,160.0
114,118.49,1.05,0.433,126.0,181.0
115,118.35,1.05,0.281,122.0,168.0
116,118.21,1.05,0.278,124.0,170.0
117,118.07,1.05,0.177,120.0,170.0
118,117.92,1.05,0.305,130.0,193.0
119,117.76,1.05,0.283,128.0,193.0
120,117.6,1.05,0.172,129.0,183.0
121,117.43,1.05,0.206,126.0,179.0
122,117.26,1.05,0.301,118.0,171.0
123,117.09,1.05,0.204,120.0,176.0
124,116.9,1.05,0.094,119.0,139.0
125,116.72,1.05,0.302,121.0,175.0
126,116.53,1.05,0.236,128.0,184.0
127,116.33,1.05,0.03,115.0,169.0
128,116.13,1.05,0.15,119.0,153.0
129,115.92,1.05,0.078,120.0,149.0
130,115.71,1.05,0.259,115.0,142.0
131,115.5,1.05,0.125,123.0,153.0
132,115.28,1.05,0.071,120.0,158.0
133,115.05,1.05,0.285,127.0,176.0
134,114.82,1.05,0.082,120.0,153.0
135,114.59,1.05,0.037,123.0,162.0
136,114.35,1.05,0.183,121.0,174.0
137,114.11,1.05,0.174,108.0,150.0
138,113.87,1.06,0.147,113.0,155.0
139,113.62,1.06,0.153,122.0,172.0
140,113.36,1.06,0.263,121.0,155.0
141,113.1,1.06,0.185,119.0,167.0
142,112.84,1.06,0.087,126.0,168.0
143,112.58,1.06,0.051,122.0,161.0
144,112.31,1.06,0.038,127.0,161.0
145,112.03,1.06,0.237,106.0,149.0
146,111.76,1.06,0.104,127.0,176.0
147,111.48,1.06,0.1,115.0,171.0
148,111.19,1.06,0.036,118.0,138.0
149,110.9,1.06,0.104,123.0,173.0
150,110.61,1.06,0.191,107.0,161.0
151,110.32,1.06,0.162,116.0,147.0
152,110.02,1.06,0.078,122.0,161.0
153,109.73,1.06,0.128,113.0,157.0
154,109.42,1.06,0.076,121.0,182.0
155,109.12,1.06,0.032,119.0,179.0
156,108.81,1.06,0.329,116.0,158.0
157,108.5,1.06,0.089,118.0,156.0
158,108.19,1.06,0.295,121.0,178.0
159,107.87,1.06,0.141,118.0,167.0
160,107.55,1.06,0.218,119.0,170.0
161,107.23,1.06,0.217,110.0,145.0
162,106.91,1.06,0.162,117.0,151.0
163,106.59,1.06,0.202,116.0,147.0
164,106.26,1.07,0.209,119.0,147.0
165,105.93,1.07,0.261,107.0,138.0
166,105.6,1.07,0.025,118.0,166.0
167,105.27,1.07,0.096,108.0,153.0
168,104.94,1.07,0.41,124.0,192.0
169,104.61,1.07,0.028,107.0,139.0
170,104.27,1.07,0.124,106.0,143.0
